Date,Close,High,Low,Open,Volume
2023-05-08,106.8865737915039,107.07501872614742,104.29797570257264,104.31780842718317,26511400
2023-05-09,106.47002410888672,109.2470748463162,106.31133960304034,107.50149988087897,36360100
2023-05-10,110.83396911621094,112.01421693579962,107.04528251039365,107.08495553264132,63153400
2023-05-11,115.61444854736328,116.95338077292648,113.4721584998331,114.45404112299883,78900000
2023-05-12,116.5467300415039,117.06246408354477,115.15820483575041,115.72353203640354,41102300
2023-05-15,115.55493927001953,117.50879187706043,115.05903790038903,115.15821666094425,36266800
2023-05-16,118.53036499023438,119.76019844979848,115.4756102861942,115.53511603794318,45035600
2023-05-17,119.84944152832031,120.67263963270652,117.91542917883902,118.62952837460274,33323600
2023-05-18,121.82312774658203,122.2991888062752,119.83952234186759,119.95853382336384,35234200
2023-05-19,121.75370025634766,124.93738598095622,121.1487000105305,122.53722528891174,41353400
2023-05-22,124.02493286132812,125.39361788753433,121.73386343823515,121.93222852186562,35253000
2023-05-23,121.55533599853516,123.60836727655007,121.20820656831121,123.14222636559451,34046300
2023-05-24,119.90895080566406,120.91067367529489,118.87747506501967,120.12714861556921,34182600
2023-05-25,122.46781921386719,124.29273282527676,120.96027464484123,123.49928751875201,42317000
2023-05-26,123.58854675292969,124.2332200823341,121.44624908602053,122.16034830832359,35635900
2023-05-30,122.65625762939453,124.62995076489531,120.99994867262599,124.61011047029689,35076700
2023-05-31,121.8628158569336,123.04305607346541,121.49584608754014,121.74379679384124,37325800
2023-06-01,122.7058334350586,123.40009231065325,121.61485195904373,121.81320947582672,30772700
2023-06-02,123.6480484008789,125.11591981661117,122.74551182311099,122.97362222070807,26980100
2023-06-05,124.9770736694336,126.38543183753264,122.82485583017811,122.99346805796284,32305500
2023-06-06,126.26640319824219,127.2383656366913,124.3323909005138,124.97706418870804,26638300
2023-06-07,121.49584197998047,127.9822255786917,121.11895964321234,125.92920166945693,52539000
2023-06-08,121.1387939453125,122.21986293706264,120.24616990782498,121.22806013248871,29389200
2023-06-09,121.22806549072266,122.74552263809503,120.91068888190526,121.24789821827459,23778300
2023-06-12,122.62648010253906,123.03312282465018,120.66271507597186,121.78344935610956,28306400
2023-06-13,122.81494140625,124.13404093411759,122.17026807883049,123.95551612909149,22278300
2023-06-14,122.65625762939453,123.03314755821141,120.45445407399907,122.0909303030245,30592300
2023-06-15,124.0645980834961,124.43156781239826,121.39665392353744,122.13058581448757,35246300
2023-06-16,122.51740264892578,125.07625577200433,122.26945194087992,124.8977309595371,45535600
2023-06-20,122.09092712402344,123.54887849797753,121.13879731318417,121.92232245860355,26097500
2023-06-21,119.56182861328125,121.65453309243799,119.11551282046045,121.39666224993185,30306300
2023-06-22,122.14051055908203,122.22976917477193,117.85592296831348,119.01633037340913,26952200
2023-06-23,121.3371353149414,121.78345105765439,120.06762910490728,120.38500565741582,34913600
2023-06-26,117.36992645263672,120.9999279223986,117.30050056715868,119.77009470813596,33969900
2023-06-27,117.36001586914062,118.10386789770331,115.14829250813179,116.12026248820283,39535900
2023-06-28,119.19485473632812,119.4031324056984,115.89214976448287,116.1301803056411,27091400
2023-06-29,118.12371063232422,119.07584040154654,117.33027294139967,118.26256241740738,24090900
2023-06-30,118.71878814697266,120.08748080780242,118.708875567441,119.1849366580173,29532200
2023-07-03,118.91714477539062,119.20476846528122,117.84599604756099,118.26255136387671,14467900
2023-07-05,120.75199127197266,121.60494228794853,118.25265153768966,118.26256411758469,27584800
2023-07-06,119.12542724609375,119.31387218735846,117.42944547527459,118.81797081927608,24745200
2023-07-07,118.5005874633789,120.05771736735291,118.42124143298246,119.1155002818165,21709500
2023-07-10,115.49542236328125,117.34017600620315,115.18796594507899,117.33026342725442,35315200
2023-07-11,116.17977905273438,116.74510634443534,114.40445113781433,115.33674818852833,23078800
2023-07-12,117.9551010131836,119.34362637246984,117.4393669141167,117.82616938013048,30404400
2023-07-13,123.51911926269531,123.80674297722868,119.4626419533475,119.938710617678,44297900
2023-07-14,124.39190673828125,125.74075916657561,122.47772701039696,123.77699383825481,33283100
2023-07-17,123.62821197509766,126.05812564014278,123.18189620588134,124.9076384065508,25716200
2023-07-18,122.74549865722656,123.6579552834524,121.95205350677138,123.57860925503613,26193600
2023-07-19,121.0296859741211,124.1538660880998,120.80157558357863,123.57861868845079,37224000
2023-07-20,118.22288513183594,123.0727999886977,117.25092267132642,120.42468845421087,37906800
2023-07-21,119.03616333007812,119.99821321316037,117.75674443491287,119.6312510365837,72937900
2023-07-24,120.5337905883789,121.99174188501857,119.98830359973758,120.6627297925078,29686100
2023-07-25,121.20822143554688,122.14051850552042,120.02797366116377,120.36519055392536,52509600
2023-07-26,128.2103271484375,129.90630113026324,127.26811769923354,129.00377226018543,61682100
2023-07-27,128.3392791748047,132.14781351472905,127.73427884774642,130.59067581926217,44952100
2023-07-28,131.4932098388672,132.64370465595107,129.49969176817697,129.7079618698937,36591200
2023-07-31,131.632080078125,132.43543799339955,130.6997829450421,131.64199265883678,28055500
2023-08-01,130.47164916992188,131.54279790983335,129.60877052366334,129.70795684787504,23166800
2023-08-02,127.32764434814453,129.0236186085389,126.51435881324909,128.3888654416219,26273300
2023-08-03,127.39706420898438,128.329361244637,126.37550855512062,126.9210031114822,20089500
2023-08-04,127.05984497070312,130.43196810964983,126.8614874567136,128.22025231793552,26147200
2023-08-07,130.45181274414062,130.53115877911966,127.962393323222,128.10124510100812,22746300
2023-08-08,130.32286071777344,130.4319596134173,128.47810720379093,129.5492558700105,23535200
2023-08-09,128.59715270996094,130.9576330468754,127.94255923989908,130.58075827957177,24912900
2023-08-10,128.62692260742188,130.96757809471208,128.38888445942726,130.24356620341507,20857800
2023-08-11,128.4979705810547,128.86493278064867,127.11936527043054,127.60535409901688,19591100
2023-08-14,130.25343322753906,130.29309867147586,127.90286598134887,128.32933382192084,24695600
2023-08-15,128.71617126464844,130.34272731563817,128.22026984503316,130.02535827661376,19770700
2023-08-16,127.64500427246094,129.21205435216356,126.82181378350052,127.64500427246094,25216100
2023-08-17,128.85501098632812,130.90804993539842,128.23017041335734,128.73599949955613,33446300
2023-08-18,126.41516876220703,128.1904964685169,125.344020051106,127.45655703673252,30504800
2023-08-21,127.31771087646484,127.6747604625636,125.52255036686307,126.13747078000077,25248700
2023-08-22,128.0218963623047,129.21205659443743,127.2681317464859,127.45656155015928,22054900
2023-08-23,131.28492736816406,132.31641072027463,128.80542045173755,129.11287688798097,27819700
2023-08-24,128.71617126464844,133.14953116670597,128.5079011432878,132.85198728819475,28500700
2023-08-25,128.81533813476562,129.68811421046675,126.20689221900474,128.47811371877063,26762900
2023-08-28,129.93606567382812,131.45352258706555,129.0732021716326,130.23360950918428,20543300
2023-08-29,133.46690368652344,135.45050919179718,131.15600145683445,131.15600145683445,43075600
2023-08-30,134.7661590576172,135.16287409396253,132.9709985475354,133.67517000710467,28315800
2023-08-31,135.0537872314453,136.8687881952977,134.67689731971456,134.89509514927343,30053800
2023-09-01,134.54794311523438,136.3331908056176,133.74458543798855,136.3331908056176,21543700
2023-09-05,134.6570587158203,135.30172442643027,133.4768110647792,134.3297620041587,19403100
2023-09-06,133.35781860351562,135.41084264478113,132.57428587282706,134.9050286366341,18684500
2023-09-07,134.1512451171875,134.46862928644677,131.86018300504648,132.49493620985484,18844300
2023-09-08,135.2620849609375,135.5397885635056,133.74462772772205,133.8041334805993,23558300
2023-09-11,135.79762268066406,136.35302976641478,134.6768807966762,135.4207328151726,20763400
2023-09-12,134.2305908203125,135.74804793318728,134.08182644991697,135.14304760406196,18405500
2023-09-13,135.58937072753906,135.77780055178212,133.05034278578884,133.98263986174015,20749500
2023-09-14,136.9679412841797,137.56301374731885,135.1231878944064,136.47203999804393,24751000
2023-09-15,136.27369689941406,137.3845263119322,135.36124015129133,136.84894433199983,38919600
2023-09-18,137.07705688476562,138.0192664165555,135.4901665221767,135.4901665221767,21861300
2023-09-19,136.908447265625,137.2754245802509,135.5000891528616,136.29353439301667,20353700
2023-09-20,132.64369201660156,136.94811189062173,132.5246654075392,136.94811189062173,29927500
2023-09-21,129.37074279785156,131.14606291971518,129.00378065244968,130.3625454686309,31503900
2023-09-22,129.1822967529297,130.94770428096794,128.53763107597587,129.68811066252235,26397300
2023-09-25,130.03524780273438,130.0947535411447,127.90287812992364,128.76574160428865,20094600
2023-09-26,127.51609802246094,129.29141844193066,126.17715813897233,128.70625840016731,25718700
2023-09-27,129.46994018554688,129.8269898246319,127.5161024517244,127.5161024517244,22746500
2023-09-28,131.2254180908203,132.20730825142687,128.72607094890918,128.77566411264445,22513100
2023-09-29,129.78732299804688,132.95117654608515,129.29142156753832,132.187484105663,30859800
2023-10-02,133.07017517089844,133.31812586216128,130.09476687574428,130.1344474612235,22288000
2023-10-03,131.3444366455078,133.15943757319482,130.75927662958244,132.8420685488848,22989400
2023-10-04,134.13140869140625,134.45870541332442,131.44361659343454,131.70147985901755,26752300
2023-10-05,133.9628143310547,134.37936969993646,132.35608346969923,133.9628143310547,19832600
2023-10-06,136.4522247314453,137.02747214489506,132.91148163496393,132.91148163496393,27597600
2023-10-09,137.2853546142578,137.80109635598646,134.49839090670235,135.8174905702575,19278100
2023-10-10,136.92828369140625,138.57467986983306,136.20427192955205,137.36467931785276,27786600
2023-10-11,139.3979034423828,139.9533106562274,137.44405047915077,137.44405047915077,25884300
2023-10-12,137.83082580566406,140.0623819353228,137.12663921258442,139.89377728823808,24765500
2023-10-13,136.23402404785156,138.8523826583463,135.50008457709373,138.23746980650327,23420500
2023-10-16,137.9597625732422,138.4854167971643,136.8588609633149,137.03737818636395,28501900
2023-10-17,138.57467651367188,138.75319373814438,136.0554891433646,137.49361518669917,23515800
2023-10-18,136.82911682128906,139.56648701861894,136.25386939858822,138.30689326315832,23375000
2023-10-19,136.62081909179688,138.51516584160242,136.25385694319345,137.36467110137107,26066000
2023-10-20,134.48846435546875,136.73984579212933,133.97272266731449,136.2042789444492,26335700
2023-10-23,135.381103515625,136.5315985768597,132.8520029506786,133.9330645408004,26317900
2023-10-24,137.67213439941406,138.21762892713875,136.2935292113691,136.70017196237376,44814300
2023-10-25,124.5803451538086,127.25820957616193,124.04477075596701,127.10944521580694,84366200
2023-10-26,121.27763366699219,123.31083224083282,120.27591081531207,122.25951622711595,57061100
2023-10-27,121.16854095458984,122.29919549173574,119.22460845972752,121.87272000373477,44566500
2023-10-30,123.43977355957031,124.37207059770444,121.74379170735196,122.20002007986204,28940100
2023-10-31,123.06289672851562,124.34232328480618,121.68429140278461,124.03485926262917,26292300
2023-11-01,125.41345977783203,125.45313279745749,122.70584239837481,123.05297186152897,30082400
2023-11-02,126.44493865966797,127.92272273406017,125.889531505127,127.3673155795192,27124600
2023-11-03,128.041748046875,128.4682159884043,126.81190712180837,126.970599202535,26393100
2023-11-06,129.1822967529297,129.2715553604388,127.61524673059205,127.9921365850185,19052700
2023-11-07,129.89639282226562,130.82868972418774,128.81533157799734,129.6385295842965,29757300
2023-11-08,130.75927734375,131.1262546701782,129.70796879855988,129.89641375169958,26425800
2023-11-09,129.17239379882812,131.46345569784398,129.0037891497348,130.8782957156304,23747800
2023-11-10,131.5031280517578,131.71141329610631,128.34920244954847,129.03354879478132,26913300
2023-11-13,131.0072021484375,131.5031034497492,130.17409159432344,130.69974576301732,18324800
2023-11-14,132.524658203125,134.58760942147106,132.22712953091224,133.0899929477425,32395200
2023-11-15,133.5164794921875,133.92312224608222,132.4750987262402,133.76443017621472,23861500
2023-11-16,135.80755615234375,136.09518745195533,133.21896525810197,134.08182888951592,28013200
2023-11-17,134.20082092285156,134.94467294789172,132.5544248086727,134.88516720728182,37240600
2023-11-20,135.13311767578125,135.53976041427174,132.52467173584012,132.5941051889177,27815500
2023-11-21,135.84722900390625,136.05549911438757,134.84551363674532,135.17279523893023,22635300
2023-11-22,137.35475158691406,138.2771207680308,136.34310866753836,136.34310866753836,17813900
2023-11-24,135.56951904296875,136.99771741092056,134.87526015124462,136.8985310833705,12514300
2023-11-27,135.29180908203125,137.2853270482676,134.88516634551732,134.91491921563218,23436500
2023-11-28,136.07533264160156,136.1249258052487,134.309924978467,134.964518417708,18730000
2023-11-29,133.88343811035156,137.15637457576435,133.73465864047404,136.4422906284374,23967200
2023-11-30,131.443603515625,134.4388517451667,130.2038502076351,133.94295042197072,38988300
2023-12-01,130.7791290283203,131.02707974958335,129.59888117371452,130.7791290283203,31442300
2023-12-04,128.2103271484375,128.9640916810593,126.85155485379651,128.8153273436033,36669900
2023-12-05,129.916259765625,131.05682698082634,127.1987145294908,127.89297349238338,27384800
2023-12-06,128.95420837402344,130.75928165761354,128.81535658297804,130.3625665785439,23576200
2023-12-07,135.80755615234375,137.42419963070353,133.59584004786453,133.93304938270325,56767100
2023-12-08,133.88343811035156,135.2818682714779,132.93130095773793,133.09990558330048,32260100
2023-12-11,132.19737243652344,132.2469655972193,130.2832005300675,131.29484350017327,31138000
2023-12-12,131.43370056152344,131.90976162921305,130.18401944998905,130.7295139721899,29032800
2023-12-13,131.4832763671875,132.4056455099315,130.49147377909813,132.28663404214686,30104800
2023-12-14,130.8584442138672,132.6238517222141,128.62688824878407,132.28664245291358,38722400
2023-12-15,131.5130615234375,132.41559059857232,130.10468818490273,130.54108385219968,50847100
2023-12-18,134.68679809570312,136.02572254525143,131.34441299342456,131.5427856233193,32258000
